day_of_week,hour_of_day,avg_last_7_days,rainfall,aqi,temperature,zone_demand_score,is_weekend,working_hours,daily_income
3,16,507,45.62811118988145,261,29.962291347694645,0.4452107162548429,1,11.497273215446697,713.1963251175777
6,17,569,8.103672452276022,140,28.941178988616947,0.5125191005477518,1,7.40340675998362,843.3761559946821
2,11,414,29.325226154451123,198,39.61711308976219,0.5416758993236189,1,10.645775270236157,900.8712558492047
5,6,434,19.39084112845213,101,35.24347559186519,0.4652066104134223,0,11.297321229499865,910.4334240063112
6,11,905,17.251961489787384,270,34.48898202046641,0.5825511339094429,1,11.012319286838908,1038.4466086878233
2,20,531,66.2296508302209,53,28.29544458023173,0.4952149507486508,1,7.988440850134913,758.7882542936145
3,13,376,23.903997896950933,256,38.80575510709569,0.4385029750531282,1,8.305950316969511,610.3364043358073
1,18,539,29.073841006245658,250,18.078717361050423,0.5496739449200216,1,11.205312458729114,739.731104778742
0,6,834,22.550661338435418,213,25.262457400801434,0.6750372778165781,0,9.748555497858373,966.9296239517878
2,20,1132,83.70470904191717,170,30.486565626135388,0.9855892587616719,0,5.657418595777892,1056.0167722363817
2,17,320,48.40919580389408,133,19.873715609586355,0.7491161150979959,0,11.374753915364712,862.2765986858157
4,13,850,23.53439571273669,71,42.40986255927426,0.4735843599682156,0,10.222684363386795,1087.4234256827758
1,10,618,5.244027264445538,70,26.38767870059483,0.4735578852646002,0,7.24568036454239,872.8402422312719
0,12,862,6.809494887675771,271,35.22815447926625,0.3996473777049306,0,9.604919062091561,897.9915019738505
5,10,824,6.933162355721334,140,42.190050720613456,0.3642581562897912,0,8.72418874762042,1080.101136746853
1,18,961,28.824971054626893,196,42.80066078887245,0.8679997583578856,1,9.946575180501103,1223.5111189445256
4,12,1139,45.86225996604695,183,37.704295053300584,0.8626074328344784,0,11.951090220796573,1457.4834221262731
1,8,1123,24.306702295362847,272,17.379766448197202,0.32592408016846136,1,8.310214561192392,958.1050636002859
4,11,465,2.248691884314713,228,41.323329922770455,0.49490551409001504,1,5.2311401099407675,493.0616930178922
0,8,668,44.57304893855728,86,27.250132960052305,0.8248456529939616,0,10.649227462150876,1102.5753439892148
4,19,355,10.365273816903509,294,18.395874381353963,0.6266577257174033,0,5.370964896600302,478.0374585392237
2,21,387,90.80759338320806,167,25.23850397696529,0.7701091868611417,0,9.638292311304252,760.9062789828813
2,16,1061,10.157145215691877,104,15.931914740632871,0.8957140861228097,1,11.923281991686942,1502.9317076750995
2,22,1072,72.40943725577918,158,19.320384494430662,0.5804086780238895,1,6.474453275243025,960.4108697441634
1,17,1092,78.35962187385807,182,36.76395911039784,0.35042839479372107,1,6.288075680785538,789.2725777366378
3,7,772,50.69875333384468,231,29.452229352899266,0.5364875601236239,1,6.746755006431814,650.5380950339704
4,19,431,99.08035185386449,272,17.255092397861024,0.8038605518001116,1,11.859234594769738,807.9111591129166
6,14,350,75.12697725286964,298,35.24286246106213,0.9920593891732945,0,7.707336272167455,666.1375674873009
6,10,453,67.31877053614213,99,43.99548581443447,0.8766291182160773,0,11.006444237993035,1067.7358446239148
3,22,736,66.77417007875029,284,20.82542663166887,0.7605440696314509,1,4.420341073763886,607.04240416536
1,21,1106,75.3060700391447,247,34.95730272570607,0.8522344957367509,0,5.316562597830573,952.5456609777336
3,11,1035,61.37191959875186,98,31.75499939373346,0.4039327554330594,0,4.7070023515609725,934.8313708707524
5,10,1155,67.47713075148827,133,41.40920154199114,0.5079961658027425,0,11.33533860597663,1298.9461216867069
5,21,853,63.39964864108364,262,22.003343466308483,0.5435004057594262,0,6.430351035352733,833.594354816902
4,8,969,52.27033205196986,118,40.352774876576404,0.6252126234438897,0,8.1523840750318,1154.626022247272
3,14,510,92.44054143385779,255,18.21645870830904,0.7036323408785942,0,9.88261429859692,682.1247591773541
1,18,765,54.894193037844865,236,29.215064254938213,0.9583614435454553,0,4.008137595488844,865.3832697202213
4,15,1117,1.0204137011191161,271,20.856539346682847,0.7893874792336654,1,6.741311897736961,1125.6120962739706
1,10,406,58.30410767347666,221,20.261746151232877,0.8712504851906206,0,9.41051060812688,781.2991565051725
0,21,437,3.364598311233613,152,20.818156809934138,0.522257463894688,1,9.849811728023823,774.8061528424304
0,20,1032,78.8086480433682,139,40.970742499066574,0.8676974004241313,0,4.0535328031557425,880.4207080792522
1,10,663,1.1439635505525514,88,38.776862016157565,0.6691387453607285,0,10.37135452667535,1162.8831124285477
5,22,914,3.3161317756357556,176,32.956938790738036,0.7131688367192441,0,8.01795898618547,1061.3021538703686
6,9,1126,36.426207460162864,133,28.94607612668628,0.3859338445513104,1,10.018805142483377,1153.4949332565243
2,20,543,14.486702021691844,207,17.88237349063732,0.9747990162446916,1,11.38121202744476,1160.2446914535374
6,20,1044,24.459719991621455,95,34.66060572015712,0.4884239860733131,0,8.802170149929042,1083.927665478009
2,13,535,12.82859773563768,247,20.821510750708775,0.7954273643858003,0,7.264191066454896,813.5937013258537
2,13,511,11.383401935978622,97,44.87767757853665,0.7788458140826479,0,9.384073968365264,1005.776126782976
0,21,929,42.29301017683148,225,42.915784484799275,0.6090174267686248,0,10.644887649319918,1090.5535266194406
1,20,600,96.84388625308688,120,33.011152198925906,0.5326427489327289,1,9.681640296617442,838.0594104559104
0,11,878,15.939461880412154,53,30.776357903364975,0.918988103382743,0,8.377352817344866,1375.6929850556578
5,21,899,30.50905474629961,108,15.248659486827291,0.5618569903618231,1,4.010567808425582,877.2358924364138
2,20,825,48.01446241066032,57,34.79093460061327,0.9551879580866336,0,6.25772287611646,1151.3890315261742
4,22,825,7.279491807489224,172,29.55282406532153,0.7683133602442823,0,6.5395263580557055,1031.8664730531143
2,10,1159,26.13910817865245,288,16.52112201494195,0.6603857413059702,1,5.366693769217088,910.7998634117704
4,13,1069,73.36645009262382,169,20.029268632385687,0.47273382476909265,1,7.256547234964192,896.7288759730761
5,17,310,26.40677989091499,204,16.038745000038702,0.8020425057131566,0,10.984242752055279,894.6089867637646
6,18,1160,60.790229119955505,188,32.48461600517644,0.9797744800347483,0,5.410342572564332,1120.8582058968655
1,8,1108,2.2333929615804937,191,25.19581194090413,0.4838230290430151,1,8.721787519631523,1111.646848871221
3,22,442,14.376343544552405,227,19.02958130637827,0.6049053550604739,0,9.924461639621956,753.5743916938136
5,12,916,20.628366048751225,252,21.737519779463646,0.39124213106244965,1,10.893895324289977,1024.1342914730315
0,22,1106,82.8890337862051,79,37.27275865667917,0.459169209020034,0,5.4951127285240355,952.5891987142564
6,13,816,76.52995567809187,176,21.64571577709279,0.9348353074563265,1,8.192196975038716,1039.4326682684632
0,20,913,91.33724798923899,59,21.94937191860594,0.4912843710239215,1,10.96951886126735,1104.4706847652678
0,14,468,21.142685251007887,298,32.345299079415646,0.5664400635545854,0,6.4988990661856825,572.3330615829543
3,8,970,35.7674630167657,191,21.93728600784933,0.45592293466769906,0,7.861231215981832,886.2595113433038
3,18,928,62.93071802010714,104,17.008619267781906,0.5409185171664245,0,7.243887916001657,903.9930419842294
1,17,1134,41.174518014887,235,42.21729473287008,0.7564719920548016,1,7.237102829484742,1079.870428417554
6,8,688,35.248212672086254,107,18.397262828923353,0.6976287614130536,1,9.758442608780928,1104.2159247188251
0,21,941,86.59387042851088,245,35.727176707458206,0.805995636337163,1,4.757576873140844,861.1143119675579
5,15,326,79.43581612110306,108,25.21990712017975,0.40350442742418663,1,4.826518572462417,453.30289265473596
5,9,1041,29.208683694974514,236,26.550095857117782,0.968270436934435,0,11.663257503494371,1391.2525586465479
5,9,808,57.559350276512525,82,44.38491359611234,0.6104526808287936,0,10.126227311336134,1099.4514403312141
1,22,591,37.590813219143435,115,17.360982346802313,0.7753749109342287,1,5.110242237960839,817.6905066377777
1,18,1101,60.85803523171099,87,21.373982507438324,0.994586612599615,1,9.854574967440985,1461.9717520638687
2,8,1079,78.08696529719248,287,35.41623482137555,0.5551355917081673,0,9.025563471650885,901.6393890411765
1,8,925,39.90768309138514,188,30.242312270217738,0.41278352899995546,1,11.128707386441627,1057.9003285159044
6,9,873,12.330207851842367,271,34.92369730299785,0.4189845803396182,1,9.314151374013479,809.5287607283256
3,15,835,57.501382219348784,153,29.602090235916222,0.4305989505418223,1,11.084573681843843,951.7938733238467
1,7,532,64.16113059239449,154,44.21523481271428,0.4025252487377011,0,9.52843462162214,649.6141808511283
3,8,719,37.34086832570396,152,43.99372045912554,0.3504928370209086,1,4.599978049944631,627.010852244475
0,15,1092,69.17481749383873,171,28.27232749225021,0.4889102070504093,1,11.410375319594506,1102.4997183043477
0,14,895,32.204423950169435,180,42.19646565801621,0.8922763481197413,0,6.131086633768527,1142.6516212808706
2,11,945,32.35214781418083,221,41.62446144855985,0.3523169903769409,1,7.809124541896706,798.5182142812264
6,11,1080,4.814725987846435,171,18.27858931987363,0.7810800562590174,0,11.631106522684293,1485.6491660570327
6,16,805,1.5042989939275442,194,28.117341369167242,0.37855480365907956,0,9.235175888542841,850.9361756057264
0,21,738,9.995850002438356,194,19.584852330576474,0.9416897946903937,0,4.725420391752652,950.7022860786705
1,18,1018,8.96170644344515,152,30.323718345313445,0.8729663094900553,1,9.724370751090444,1400.856270448184
6,16,651,2.72220299201944,92,26.52639763940352,0.6064469611788346,1,7.975425588841743,1033.9004505310525
3,6,810,93.8964630719626,76,41.45691835941164,0.330404168635372,1,9.93509775727763,822.1455939376118
1,11,598,15.125016243095024,197,39.86911208109275,0.7830903045405866,0,8.648669571601486,964.5311254986386
3,6,663,99.60652967192725,118,16.094233099622013,0.45459894852434224,0,7.632541571898697,663.2577778866723
0,18,524,13.603634910800011,235,36.92228243120986,0.5208361970736174,1,5.734806772133256,682.5227005018068
6,9,582,60.46189329361663,67,34.1950952432286,0.6330955680274338,0,8.40252340328708,878.2452882626299
1,17,512,53.308120770472286,150,38.978597319111365,0.8915087729961912,0,11.761398563603397,1093.1763323682037
5,20,838,88.35600148107456,144,39.13175878180661,0.31048315037963403,1,8.792882976412184,793.4090029650357
4,12,1019,11.107901977960456,121,15.29543747646209,0.9854750596934145,0,5.580157752456593,1207.5466523886032
0,19,1006,75.39560827129742,86,37.19497675893726,0.9982536126368178,0,11.495419539191769,1439.4814029611966
3,12,527,38.29864680222891,197,28.84167209692295,0.39528710468963557,1,5.726735018001322,529.192485483387
4,20,552,62.445752903617006,120,33.68584608408847,0.6626221597893143,0,10.03880454906551,910.3039203567583
5,19,967,81.94406808067374,266,36.454047261285865,0.5629689901183916,0,11.07599024737651,916.3614199843944
